#,Title,R.,Conf.,R0. Avg.,R. Avg.,Conf. Avg.,Corr.,Status
1329,UniTabE: A Universal Pretraining Protocol for Tabular Foundation Model in Data Science,"5,6,8","3,5,3",6.33,6.33,3.67,-0.19,Poster
1330,Assessing Uncertainty in Similarity Scoring: Performance & Fairness in Face Recognition,"5,6,8","3,4,3",5.33,6.33,3.33,-0.19,Poster
1332,An operator preconditioning perspective on training in physics-informed machine learning,"5,5,6,6,8,8","5,3,4,3,4,3",5.67,6.33,3.67,-0.24,Poster
1333,Composed Image Retrieval with Text Feedback via Multi-grained Uncertainty Regularization,"3,8,8","4,5,4",5.67,6.33,4.33,0.5,Poster
1337,GlucoBench: Curated List of Continuous Glucose Monitoring Datasets with Prediction Benchmarks,"5,6,8","4,3,4",6,6.33,3.67,0.19,Poster
1338,LLaMA-Adapter: Efficient Fine-tuning of Large Language Models with Zero-initialized Attention,"5,6,8","3,5,4",6.33,6.33,4,0.33,Poster
1339,Transformer-Modulated Diffusion Models for Probabilistic Multivariate Time Series Forecasting,"5,6,8","4,3,4",5.67,6.33,3.67,0.19,Poster
1340,On the Generalization and Approximation Capacities of Neural Controlled Differential Equations,"5,6,8","3,3,4",6.33,6.33,3.33,0.94,Poster
1342,Heterogeneous Personalized Federated Learning by Local-Global Updates Mixing via Convergence Rate,"5,6,8","2,3,2",6,6.33,2.33,-0.19,Poster
1343,Learning Decentralized Partially Observable Mean Field Control for Artificial Collective Behavior,"5,6,8","2,2,3",5.67,6.33,2.33,0.94,Poster
1344,Lightweight Language Model Calibration for Open-ended Question Answering with Varied Answer Lengths,"5,6,8","3,3,3",6,6.33,3,0,Poster
1345,Sample-Efficiency in Multi-Batch Reinforcement Learning: The Need for Dimension-Dependent Adaptivity,"5,6,8","3,2,3",6.33,6.33,2.67,0.19,Poster
1346,Is This the Subspace You Are Looking for? An Interpretability Illusion for Subspace Activation Patching,"3,8,8","3,2,3",6.33,6.33,2.67,-0.5,Poster
1347,Uni-RLHF: Universal Platform and Benchmark Suite for Reinforcement Learning with Diverse Human Feedback,"5,6,8","2,3,3",5.67,6.33,2.67,0.76,Poster
1348,Federated Orthogonal Training: Mitigating Global Catastrophic Forgetting in Continual Federated Learning,"5,6,8","3,3,4",5.67,6.33,3.33,0.94,Poster
1350,Learning Semantic Proxies from Visual Prompts for Parameter-Efficient Fine-Tuning in Deep Metric Learning,"5,6,8","3,3,4",6.33,6.33,3.33,0.94,Poster
1351,"Fast, Expressive $\mathrm{SE}(n)$ Equivariant Networks through Weight-Sharing in Position-Orientation Space","5,6,8","2,4,3",6.33,6.33,3,0.33,Poster
1352,What Makes Good Data for Alignment? A Comprehensive Study of Automatic Data Selection in Instruction Tuning,"5,6,8","2,3,4",4.67,6.33,3,0.98,Poster
1353,Compositional VLM: Composing Visual Entities and Relationships in Large Language Models Via Communicative Decoding,"5,6,8","4,4,4",5.33,6.33,4,0,Poster
1355,Feature Collapse,"5,6,6,8","2,3,3,3",5.5,6.25,2.75,0.66,Poster
1356,Conformal Language Modeling,"3,6,8,8","2,4,4,3",6.25,6.25,3.25,0.7,Poster
1357,Matryoshka Diffusion Models,"5,6,6,8","4,4,4,4",5.75,6.25,4,0,Poster
1359,Symmetric Single Index Learning,"5,6,6,8","4,4,2,3",6.25,6.25,3.25,-0.35,Poster
1361,BatchPrompt: Accomplish more with less,"5,6,6,8","4,4,4,3",6,6.25,3.75,-0.93,Poster
1362,Self-Supervised Contrastive Forecasting,"5,6,6,8","5,4,4,4",6,6.25,4.25,-0.66,Poster
1363,Goodhart's Law in Reinforcement Learning,"5,6,6,8","3,3,3,2",6.25,6.25,2.75,-0.93,Poster
1364,Conformal Inductive Graph Neural Networks,"5,6,6,8","3,2,3,4",5.5,6.25,3,0.65,Poster
1365,A Restoration Network as an Implicit Prior,"5,6,6,8","4,4,4,5",5.25,6.25,4.25,0.93,Poster
1366,Entropy Coding of Unordered Data Structures,"5,6,6,8","2,3,3,4",6.25,6.25,3,0.97,Poster
1367,Scalable Diffusion for Materials Generation,"5,6,6,8","2,4,4,3",6.25,6.25,3.25,0.21,Poster
1368,TiC-CLIP: Continual Training of CLIP Models,"5,6,6,8","3,5,3,4",4.5,6.25,3.75,0.35,Poster
1370,A Foundation Model for Error Correction Codes,"3,6,8,8","4,3,4,5",6.25,6.25,4,0.35,Poster
1371,DAFA: Distance-Aware Fair Adversarial Training,"5,6,6,8","3,4,4,4",5.5,6.25,3.75,0.66,Poster
1372,Revisiting Link Prediction: a data perspective,"5,6,6,8","3,4,5,5",5,6.25,4.25,0.76,Poster
1373,Set Learning for Accurate and Calibrated Models,"3,6,8,8","5,3,4,3",5,6.25,3.75,-0.7,Poster
1374,FOSI: Hybrid First and Second Order Optimization,"5,6,6,8","3,2,4,4",6.25,6.25,3.25,0.48,Poster
1375,Object-Centric Learning with Slot Mixture Module,"5,6,6,8","4,3,5,5",6.25,6.25,4.25,0.48,Poster
1376,Oracle Efficient Algorithms for Groupwise Regret,"3,6,8,8","4,5,4,3",6.25,6.25,4,-0.35,Poster
1378,Efficient Instance-Optimal Finite-Sum Minimization,"5,6,6,8","4,3,2,3",6,6.25,3,-0.32,Poster
1379,Learning to Embed Time Series Patches Independently,"5,6,6,8","2,2,3,4",6.25,6.25,2.75,0.9,Poster
1380,Out-of-Distribution Detection with Negative Prompts,"5,6,6,8","4,5,5,4",6,6.25,4.5,-0.23,Poster
1381,RA-DIT: Retrieval-Augmented Dual Instruction Tuning,"5,6,6,8","3,3,4,4",5.75,6.25,3.5,0.69,Poster
1383,Aligning Relational Learning with Lipschitz Fairness,"5,6,6,8","1,3,3,3",5.5,6.25,2.5,0.66,Poster
1384,Leave-one-out Distinguishability in Machine Learning,"5,6,6,8","4,3,3,2",5.67,6.25,3,-0.97,Poster
1387,Conformal Prediction via Regression-as-Classification,"3,6,8,8","5,4,4,4",6,6.25,4.25,-0.92,Poster
1388,Detecting Pretraining Data from Large Language Models,"5,6,6,8","3,4,3,3",6,6.25,3.25,-0.13,Poster
1389,Efficient Integrators for Diffusion Generative Models,"5,6,6,8","5,4,2,3",5.67,6.25,3.5,-0.51,Poster
1391,Learning Reusable Dense Rewards for Multi-Stage Tasks,"3,6,8,8","4,4,3,3",5.5,6.25,3.5,-0.86,Poster
1392,Private Zeroth-Order Nonsmooth Nonconvex Optimization,"5,6,6,8","4,3,4,4",5.75,6.25,3.75,0.13,Poster
1393,Training Diffusion Models with Reinforcement Learning,"5,6,6,8","4,3,4,4",4.75,6.25,3.75,0.13,Poster
1396,Language Model Decoding as Direct Metrics Optimization,"5,6,6,8","3,4,3,3",6.33,6.25,3.25,-0.13,Poster
1397,Reward-Free Curricula for Training Robust World Models,"5,6,6,8","3,4,4,4",5.25,6.25,3.75,0.66,Poster
1398,Horizon-Free Regret for Linear Markov Decision Processes,"5,6,6,8","3,3,2,4",5.5,6.25,3,0.65,Poster
1399,MiniLLM: Knowledge Distillation of Large Language Models,"5,6,6,8","3,4,4,5",6,6.25,4,0.97,Poster
1400,A Simple and Scalable Representation for Graph Generation,"5,6,6,8","4,3,4,4",6,6.25,3.75,0.13,Poster
1401,Beyond Accuracy: Evaluating Self-Consistency of Code LLMs,"3,6,8,8","3,4,4,3",5.5,6.25,3.5,0.37,Poster
1403,(InThe)WildChat: 570K ChatGPT Interaction Logs In The Wild,"5,6,6,8","2,4,4,4",6.25,6.25,3.5,0.66,Spotlight
1405,Probabilistic Adaptation of Black-Box Text-to-Video Models,"3,6,8,8","4,5,5,3",5.5,6.25,4.25,-0.04,Poster
1407,Coeditor: Leveraging Repo-level Diffs for Code Auto-editing,"5,6,6,8","5,3,4,4",6,6.25,4,-0.32,Spotlight
1408,Skill or Luck? Return Decomposition via Advantage Functions,"5,6,6,8","5,3,4,3",6.25,6.25,3.75,-0.76,Poster
1409,Balancing Act: Sparse Models with Constrained Disparate Impact,"5,6,6,8","2,3,4,3",6.33,6.25,3,0.32,Poster
1410,Fourier Transporter: Bi-Equivariant Robotic Manipulation in 3D,"5,6,6,8","4,4,3,3",5.25,6.25,3.5,-0.69,Poster
1414,Enhancing Human-AI Collaboration Through Logic-Guided Reasoning,"5,6,6,8","5,3,2,3",5.75,6.25,3.25,-0.47,Poster
1416,PRIME: Prioritizing Interpretability in Failure Mode Extraction,"5,6,6,8","4,4,4,3",5.5,6.25,3.75,-0.93,Poster
1417,Domain-Inspired Sharpness Aware Minimization Under Domain Shifts,"5,6,6,8","3,4,5,4",5.25,6.25,4,0.32,Poster
1418,LDReg: Local Dimensionality Regularized Self-Supervised Learning,"5,6,6,8","3,4,4,4",5.25,6.25,3.75,0.66,Poster
1420,Modeling Boundedly Rational Agents with Latent Inference Budgets,"5,6,6,8","3,4,3,4",6.25,6.25,3.5,0.69,Poster
1421,SWE-bench: Can Language Models Resolve Real-world Github Issues?,"5,6,6,8","3,4,2,4",6.25,6.25,3.25,0.48,Oral
1422,Score Regularized Policy Optimization through Diffusion Behavior,"3,6,8,8","3,3,3,3",5.5,6.25,3,0,Poster
1423,A Simple and Effective Pruning Approach for Large Language Models,"5,6,6,8","4,4,4,4",6.25,6.25,4,0,Poster
1424,AutoLoRa: A Parameter-Free Automated Robust Fine-Tuning Framework,"5,6,6,8","4,4,3,4",5.5,6.25,3.75,0.13,Poster
1425,Copula Conformal prediction for multi-step time series prediction,"5,6,6,8","4,3,4,4",6,6.25,3.75,0.13,Poster
1426,DiffusionSat: A Generative Foundation Model for Satellite Imagery,"3,6,8,8","4,4,4,4",4.75,6.25,4,0,Poster
1427,Image Inpainting via Iteratively Decoupled Probabilistic Modeling,"5,6,6,8","4,3,3,4",5.75,6.25,3.5,0.23,Spotlight
1429,Robust Angular Synchronization via Directed Graph Neural Networks,"5,6,6,8","2,2,3,2",6,6.25,2.25,-0.13,Poster
1430,SparseFormer: Sparse Visual Recognition via Limited Latent Tokens,"5,6,6,8","4,5,4,3",5.5,6.25,4,-0.65,Poster
1431,Counterfactual Density Estimation using Kernel Stein Discrepancies,"5,6,6,8","3,2,4,4",5.5,6.25,3.25,0.48,Poster
1432,Eureka: Human-Level Reward Design via Coding Large Language Models,"5,6,6,8","4,4,4,4",5.5,6.25,4,0,Poster
1433,Magnitude Invariant Parametrizations Improve Hypernetwork Learning,"5,6,6,8","4,3,3,3",6,6.25,3.25,-0.66,Poster
1434,MetaTool Benchmark: Deciding Whether to Use Tools and Which to Use,"5,6,6,8","4,4,4,4",5.5,6.25,4,0,Poster
1435,Pooling Image Datasets with Multiple Covariate Shift and Imbalance,"5,6,6,8","1,3,3,4",5.5,6.25,2.75,0.89,Poster
1436,Robust Model-Based Optimization for Challenging Fitness Landscapes,"5,6,6,8","2,1,3,3",6,6.25,2.25,0.48,Poster
1438,Vanishing Gradients in Reinforcement Finetuning of Language Models,"5,6,6,8","3,3,3,3",6,6.25,3,0,Poster
1439,GOAt: Explaining Graph Neural Networks via Graph Output Attribution,"5,6,6,8","4,5,2,3",6,6.25,3.5,-0.31,Poster
1440,OMNI: Open-endedness via Models of human Notions of Interestingness,"3,6,8,8","4,5,3,4",5,6.25,4,-0.35,Poster
1441,Scaling Supervised Local Learning with Augmented Auxiliary Networks,"5,6,6,8","3,4,4,5",5.25,6.25,4,0.97,Poster
1443,Evaluating Representation Learning on the Protein Structure Universe,"5,6,6,8","5,5,3,4",6.25,6.25,4.25,-0.35,Poster
1444,Making RL with Preference-based Feedback Efficient via Randomization,"5,6,6,8","4,3,2,3",5.75,6.25,3,-0.32,Poster
1445,Traveling Waves Encode The Recent Past and Enhance Sequence Learning,"5,6,6,8","4,3,4,4",5.75,6.25,3.75,0.13,Poster
1446,COSA: Concatenated Sample Pretrained Vision-Language Foundation Model,"5,6,6,8","5,3,4,3",6,6.25,3.75,-0.76,Poster
1447,Faithful Vision-Language Interpretation via Concept Bottleneck Models,"5,6,6,8","4,3,3,4",5.5,6.25,3.5,0.23,Poster
1448,GTA: A Geometry-Aware Attention Mechanism for Multi-View Transformers,"5,6,6,8","3,4,3,3",6.25,6.25,3.25,-0.13,Poster
1449,WizardCoder: Empowering Code Large Language Models with Evol-Instruct,"5,6,6,8","4,5,4,4",6,6.25,4.25,-0.13,Poster
1450,GoLLIE: Annotation Guidelines improve Zero-Shot Information-Extraction,"5,6,6,8","4,3,4,5",5.75,6.25,4,0.65,Poster
1452,CPPO: Continual Learning for Reinforcement Learning with Human Feedback,"5,6,6,8","4,4,2,2",5.75,6.25,3,-0.69,Poster
1453,Differentiable Euler Characteristic Transforms for Shape Classification,"5,6,6,8","3,4,3,3",5.75,6.25,3.25,-0.13,Poster
1455,Improving Language Models with Advantage-based Offline Policy Gradients,"5,6,6,8","4,4,3,4",5.75,6.25,3.75,0.13,Poster
1456,MOFI: Learning Image Representations from Noisy Entity Annotated Images,"5,6,6,8","4,4,5,4",6,6.25,4.25,-0.13,Poster
1459,Views Can Be Deceiving: Improved SSL Through Feature Space Augmentation,"5,6,6,8","4,3,3,4",6,6.25,3.5,0.23,Spotlight
1460,A Discretization Framework for Robust Contextual Stochastic Optimization,"3,6,8,8","3,3,3,4",3.5,6.25,3.25,0.49,Poster
1461,ConjNorm: Tractable Density Estimation for Out-of-Distribution Detection,"5,6,6,8","4,3,2,4",6.25,6.25,3.25,0.21,Poster
1464,Differentially Private Synthetic Data via Foundation Model APIs 1: Images,"5,6,6,8","4,5,4,4",6,6.25,4.25,-0.13,Poster
1466,CARD: Channel Aligned Robust Blend Transformer for Time Series Forecasting,"5,6,6,8","4,3,4,5",5.25,6.25,4,0.65,Poster
1467,DreamCraft3D: Hierarchical 3D Generation with Bootstrapped Diffusion Prior,"5,6,6,8","3,3,5,4",5.75,6.25,3.75,0.35,Poster
1468,LayoutNUWA: Revealing the Hidden Layout Expertise of Large Language Models,"5,6,6,8","2,5,3,3",5.75,6.25,3.25,0.16,Poster
1469,Matcher: Segment Anything with One Shot Using All-Purpose Feature Matching,"5,6,6,8","4,5,4,5",6,6.25,4.5,0.69,Poster
1470,Skill Machines: Temporal Logic Skill Composition in Reinforcement Learning,"5,6,6,8","5,4,3,4",5.75,6.25,4,-0.32,Poster
1471,Understanding Hidden Context in Preference Learning: Consequences for RLHF,"5,6,6,8","3,2,3,2",5.5,6.25,2.5,-0.69,Poster
1474,Fast Updating of Truncated SVD for Representation Learning in Sparse Matrix,"5,6,6,8","4,5,4,2",5,6.25,3.75,-0.79,Poster
1475,KITAB: Evaluating LLMs on Constraint Satisfaction for Information Retrieval,"5,6,6,8","4,3,3,3",6.25,6.25,3.25,-0.66,Poster
1476,Neuroformer: Multimodal and Multitask Generative Pretraining for Brain Data,"5,6,6,8","3,2,4,3",4.75,6.25,3,0,Poster
1477,Adaptive Retrieval and Scalable Indexing for k-NN Search with Cross-Encoders,"5,6,6,8","4,3,3,3",5.75,6.25,3.25,-0.66,Poster
1478,"On the Over-Memorization During Natural, Robust and Catastrophic Overfitting","5,6,6,8","4,4,4,4",5.25,6.25,4,0,Poster
1479,Time-Varying Propensity Score to Bridge the Gap between the Past and Present,"5,6,6,8","2,4,4,2",5,6.25,3,-0.23,Poster
1480,Analyzing and Mitigating Object Hallucination in Large Vision-Language Models,"5,6,6,8","4,3,4,3",6,6.25,3.5,-0.69,Poster
1481,Enhancing Tail Performance in Extreme Classifiers by Label Variance Reduction,"5,6,6,8","2,4,3,5",5.5,6.25,3.5,0.92,Poster
1482,Like Oil and Water: Group Robustness Methods and Poisoning Defenses Don't Mix,"5,6,6,8","4,3,4,3",5.5,6.25,3.5,-0.69,Poster
1483,Belief-Enriched Pessimistic Q-Learning against Adversarial State Perturbations,"5,6,6,8","4,2,2,4",6.25,6.25,3,0.23,Poster
1484,Generative Modeling of Regular and Irregular Time Series Data via Koopman VAEs,"5,6,6,8","5,4,4,5",5.75,6.25,4.5,0.23,Poster
1485,Understanding Expressivity of Neural KG Reasoning from Rule Structure Learning,"5,6,6,8","3,3,3,3",5.75,6.25,3,0,Poster
1486,Zero-Shot Robotic Manipulation with Pre-Trained Image-Editing Diffusion Models,"5,6,6,8","4,4,3,4",5.75,6.25,3.75,0.13,Poster
1487,Augmenting transformers with recursively composed multi-grained representations,"5,6,6,8","4,4,3,4",6,6.25,3.75,0.13,Poster
1488,Continual Momentum Filtering on Parameter Space for Online Test-time Adaptation,"3,6,8,8","4,4,4,4",5.75,6.25,4,0,Poster
1489,DreamFlow: High-quality text-to-3D generation by Approximating Probability Flow,"5,6,6,8","4,4,4,3",5,6.25,3.75,-0.93,Spotlight
1490,Jumanji: a Diverse Suite of Scalable Reinforcement Learning Environments in JAX,"5,6,6,8","4,4,4,4",6,6.25,4,0,Poster
1491,MUFFIN: Curating Multi-Faceted Instructions for Improving Instruction Following,"5,6,6,8","4,3,2,4",5.5,6.25,3.25,0.21,Poster
1493,Protein-Ligand Interaction Prior for Binding-aware 3D Molecule Diffusion Models,"5,6,6,8","3,3,3,4",6,6.25,3.25,0.93,Poster
1494,SF(DA)$^2$: Source-free Domain Adaptation Through the Lens of Data Augmentation,"5,6,6,8","4,4,4,4",5,6.25,4,0,Poster
1495,Finite-Time Analysis of On-Policy Heterogeneous Federated Reinforcement Learning,"5,6,6,8","3,3,3,3",6.25,6.25,3,0,Poster
1496,Maximum Likelihood Estimation is All You Need for Well-Specified Covariate Shift,"3,6,8,8","4,3,4,3",6.75,6.25,3.5,-0.37,Poster
1497,Scaling for Training Time and Post-hoc Out-of-distribution Detection Enhancement,"5,6,6,8","4,3,3,5",6.25,6.25,3.75,0.62,Poster
1498,AntGPT: Can Large Language Models Help Long-term Action Anticipation from Videos?,"5,6,6,8","4,4,3,4",5.75,6.25,3.75,0.13,Poster
1501,Geometrically Aligned Transfer Encoder for Inductive Transfer in Regression Tasks,"5,6,6,8","4,3,3,2",4.5,6.25,3,-0.97,Poster
1502,IRAD: Implicit Representation-driven Image Resampling against Adversarial Attacks,"5,6,6,8","4,3,4,4",6,6.25,3.75,0.13,Poster
1504,BaDExpert: Extracting Backdoor Functionality for Accurate Backdoor Input Detection,"5,6,6,8","4,4,2,5",6,6.25,3.75,0.47,Poster
1505,DiLu: A Knowledge-Driven Approach to Autonomous Driving with Large Language Models,"5,6,6,8","4,4,4,3",5.75,6.25,3.75,-0.93,Poster
1506,Don't Trust: Verify -- Grounding LLM Quantitative Reasoning with Autoformalization,"3,6,8,8","4,4,4,3",5.75,6.25,3.75,-0.49,Poster
1507,Fusion is Not Enough: Single Modal Attack on Fusion Models for 3D Object Detection,"5,6,6,8","4,3,4,4",5.5,6.25,3.75,0.13,Poster
1510,Advancing Pose-Guided Image Synthesis with Progressive Conditional Diffusion Models,"5,6,6,8","4,4,5,3",6.25,6.25,4,-0.65,Poster
1512,Towards Energy Efficient Spiking Neural Networks: An Unstructured Pruning Framework,"3,6,8,8","3,4,5,5",5.5,6.25,4.25,0.99,Spotlight
1513,Hierarchical Context Merging: Better Long Context Understanding for Pre-trained LLMs,"3,6,8,8","3,4,4,3",5.5,6.25,3.5,0.37,Poster
1514,Provably Efficient UCB-type Algorithms For Learning Predictive State Representations,"5,6,6,8","4,3,3,3",5.75,6.25,3.25,-0.66,Poster
1515,Unified Language-Vision Pretraining in LLM with Dynamic Discrete Visual Tokenization,"5,6,6,8","5,4,4,3",6.25,6.25,4,-0.97,Poster
1517,Duolando: Follower GPT with Off-Policy Reinforcement Learning for Dance Accompaniment,"3,6,8,8","4,3,4,4",6,6.25,3.75,0.07,Poster
1518,Evoke: Evoking Critical Thinking Abilities in LLMs via Reviewer-Author Prompt Editing,"5,6,6,8","4,3,3,4",6,6.25,3.5,0.23,Poster
1519,Jailbreak in pieces: Compositional Adversarial Attacks on Multi-Modal Language Models,"5,6,6,8","3,4,3,4",5.5,6.25,3.5,0.69,Spotlight
1520,MEND: Meta Demonstration Distillation for Efficient and Effective In-Context Learning,"5,6,6,8","5,4,4,4",6.25,6.25,4.25,-0.66,Poster
1521,Exploring Effective Stimulus Encoding via Vision System Modeling for Visual Prostheses,"5,6,6,8","3,3,3,4",6.25,6.25,3.25,0.93,Poster
1522,Improving equilibrium propagation without weight symmetry through Jacobian homeostasis,"5,6,6,8","3,3,4,4",5.5,6.25,3.5,0.69,Poster
1523,Pessimistic Nonlinear Least-Squares Value Iteration for Offline Reinforcement Learning,"5,6,6,8","3,3,4,3",6.25,6.25,3.25,-0.13,Poster
1524,Towards Enhancing Time Series Contrastive Learning: A Dynamic Bad Pair Mining Approach,"5,6,6,8","4,3,3,4",6.25,6.25,3.5,0.23,Poster
1525,Unleashing the Power of Pre-trained Language Models for Offline Reinforcement Learning,"5,6,6,8","4,4,4,4",5.5,6.25,4,0,Poster
1526,Unveiling the Unseen: Identifiable Clusters in Trained Depthwise Convolutional Kernels,"3,6,8,8","5,4,4,2",6.25,6.25,3.75,-0.76,Poster
1527,Diffusion in Diffusion: Cyclic One-Way Diffusion for Text-Vision-Conditioned Generation,"5,6,6,8","4,2,4,4",6.25,6.25,3.5,0.13,Poster
1529,Mastering Symbolic Operations: Augmenting Language Models with Compiled Neural Networks,"5,6,6,8","3,4,3,4",5.25,6.25,3.5,0.69,Poster
1530,Accelerated Convergence of Stochastic Heavy Ball Method under Anisotropic Gradient Noise,"5,6,6,8","4,3,4,4",6.25,6.25,3.75,0.13,Poster
1531,Beyond IID weights: sparse and low-rank deep Neural Networks are also Gaussian Processes,"5,6,6,8","3,3,3,2",5.5,6.25,2.75,-0.93,Poster
1532,Diffusion Posterior Sampling for Linear Inverse Problem Solving: A Filtering Perspective,"3,6,6,10","5,4,4,4",6,6.25,4.25,-0.75,Poster
1533,Cross-Modal Contextualized Diffusion Models for Text-Guided Visual Generation and Editing,"5,6,6,8","4,4,3,3",6.25,6.25,3.5,-0.69,Poster
1534,#InsTag: Instruction Tagging for Analyzing Supervised Fine-tuning of Large Language Models,"5,6,6,8","4,4,5,4",6.25,6.25,4.25,-0.13,Poster
1535,How Realistic Is Your Synthetic Data? Constraining Deep Generative Models for Tabular Data,"5,6,6,8","3,3,3,3",5.5,6.25,3,0,Poster
1536,Improving Natural Language Understanding with Computation-Efficient Retrieval Augmentation,"3,6,8,8","4,3,3,4",5.75,6.25,3.5,-0.37,Poster
1537,Langevin Monte Carlo for strongly log-concave distributions: Randomized midpoint revisited,"5,6,6,8","4,2,3,3",6.5,6.25,3,-0.32,Poster
1538,Neural Network-Based Score Estimation in Diffusion Models: Optimization and Generalization,"5,6,6,8","2,2,4,4",5.25,6.25,3,0.69,Poster
1539,Continual Learning in the Presence of Spurious Correlations: Analyses and a Simple Baseline,"5,6,6,8","3,3,4,4",5.5,6.25,3.5,0.69,Poster
1541,Towards Robust and Efficient Cloud-Edge Model Adaptation via Selective Entropy Distillation,"5,6,6,8","3,4,4,4",6.25,6.25,3.75,0.66,Poster
1543,A Newborn Embodied Turing Test for Comparing Object Segmentation Across Animals and Machines,"3,6,8,8","4,4,5,4",5.5,6.25,4.25,0.49,Poster
1546,Towards Universal Multi-Modal Personalization: A Language Model Empowered Generative Paradigm,"5,6,6,8","2,4,4,3",5.75,6.25,3.25,0.21,Poster
1548,Long-Term Typhoon Trajectory Prediction: A Physics-Conditioned Approach Without Reanalysis Data,"3,6,8,8","4,3,4,4",5.5,6.25,3.75,0.07,Spotlight
1549,Sample Efficient Myopic Exploration Through Multitask Reinforcement Learning with Diverse Tasks,"5,6,6,8","2,3,4,3",6,6.25,3,0.32,Poster
1550,Sampling Multimodal Distributions with the Vanilla Score: Benefits of Data-Based Initialization,"3,6,8,8","5,2,3,3",5.75,6.25,3.25,-0.7,Poster
1551,Integrating Planning and Deep Reinforcement Learning via Automatic Induction of Task Substructures,"5,6,6,8","4,3,4,4",5.75,6.25,3.75,0.13,Poster
1552,Towards Identifiable Unsupervised Domain Translation: A Diversified Distribution Matching Approach,"5,6,6,8","4,5,4,4",5.5,6.25,4.25,-0.13,Poster
1553,"Does Progress On Object Recognition Benchmarks Improve Generalization on Crowdsourced, Global Data?","5,6,6,8","3,4,5,4",5.5,6.25,4,0.32,Poster
1554,A Progressive Training Framework for Spiking Neural Networks with Learnable Multi-hierarchical Model,"5,6,6,8","3,3,3,5",5.75,6.25,3.5,0.93,Poster
1556,"The HIM Solution for Legged Locomotion: Minimal Sensors, Efficient Learning, and Substantial Agility","5,6,6,8","5,3,4,4",4.75,6.25,4,-0.32,Poster
1557,Sample-efficient Learning of Infinite-horizon Average-reward MDPs with General Function Approximation,"5,6,6,8","3,3,3,2",5.75,6.25,2.75,-0.93,Poster
1558,Solving Challenging Math Word Problems Using GPT-4 Code Interpreter with Code-based Self-Verification,"3,6,8,8","5,4,5,3",5.25,6.25,4.25,-0.48,Poster
1559,Transformers as Decision Makers: Provable In-Context Reinforcement Learning via Supervised Pretraining,"5,6,6,8","3,3,1,4",6.25,6.25,2.75,0.47,Poster
1560,Can LLMs Keep a Secret? Testing Privacy Implications of Language Models via Contextual Integrity Theory,"3,6,8,8","4,3,3,3",6.25,6.25,3.25,-0.92,Spotlight
1561,Causal Modelling Agents: Causal Graph Discovery through Synergising Metadata- and Data-driven Reasoning,"3,6,8,8","2,3,2,3",6.25,6.25,2.5,0.37,Poster
1563,Long-Short-Range Message-Passing: A Fragmentation-Based Framework to Capture Non-Local Atomistic Interactions,"5,6,6,8","4,3,2,5",5.75,6.25,3.5,0.51,Poster
1565,Optimal criterion for feature learning of two-layer linear neural network in high dimensional interpolation regime,"5,6,6,8","5,3,4,4",5.5,6.25,4,-0.32,Poster
1566,BayesPrompt: Prompting Large-Scale Pre-Trained Language Models on Few-shot Inference via Debiased Domain Abstraction,"5,6,6,8","3,3,3,3",6.25,6.25,3,0,Poster
1567,On the Scalability and Memory Efficiency of Semidefinite Programs for Lipschitz Constant Estimation of Neural Networks,"5,6,6,8","4,4,3,3",5.67,6.25,3.5,-0.69,Poster
1569,FedCompass: Efficient Cross-Silo Federated Learning on Heterogeneous Client Devices Using a Computing Power-Aware Scheduler,"5,6,6,8","3,3,4,4",4.75,6.25,3.5,0.69,Poster
1570,Communication-Efficient Gradient Descent-Accent Methods for Distributed Variational Inequalities: Unified Analysis and Local Updates,"5,6,6,8","3,3,4,4",5.5,6.25,3.5,0.69,Poster
1571,AgentBench: Evaluating LLMs as Agents,"3,6,6,8,8","4,4,4,4,3",6,6.2,3.8,-0.49,Poster
1572,Energy-based Automated Model Evaluation,"3,6,6,8,8","5,3,3,3,4",5.4,6.2,3.6,-0.63,Poster
1573,Dynamic Sparse Training with Structured Sparsity,"5,6,6,6,8","4,4,2,3,4",5.4,6.2,3.4,0.15,Poster
1574,Entropy-MCMC: Sampling from Flat Basins with Ease,"5,6,6,6,8","3,3,4,4,4",6.2,6.2,3.6,0.58,Poster
1575,Federated Causal Discovery from Heterogeneous Data,"5,5,5,8,8","4,4,4,3,3",6.2,6.2,3.6,-1,Poster
1576,Learning Grounded Action Abstractions from Language,"5,6,6,6,8","4,4,4,3,4",5.2,6.2,3.8,0.1,Poster
1578,Self-Supervised Dataset Distillation for Transfer Learning,"5,6,6,6,8","4,3,3,4,3",5.6,6.2,3.4,-0.58,Poster
1579,iGraphMix: Input Graph Mixup Method for Node Classification,"5,6,6,6,8","4,4,4,3,5",5.8,6.2,4,0.65,Poster
1582,Only Pay for What Is Uncertain: Variance-Adaptive Thompson Sampling,"5,6,6,6,8","3,3,4,4,3",5.75,6.2,3.4,-0.17,Poster
1583,Self-supervised Representation Learning from Random Data Projectors,"5,6,6,6,8","4,4,5,2,4",5.8,6.2,3.8,0.04,Poster
1584,Retrieval-Guided Reinforcement Learning for Boolean Circuit Minimization,"5,6,6,6,8","4,5,4,3,4",5.6,6.2,4,0,Poster
1588,Training Socially Aligned Language Models on Simulated Social Interactions,"5,6,6,6,8","3,3,3,3,3",5.8,6.2,3,0,Poster
